날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2019.02.21,1343.19,0.22,+ 0.02%
2019.02.20,1342.97,0.1,+ 0.01%
2019.02.19,1342.87,0.12,+ 0.01%
2019.02.18,1342.75,0.13,+ 0.01%
2019.02.17,1342.62,0.07,+ 0.01%
2019.02.16,1342.55,0.31,+ 0.02%
2019.02.15,1342.24,0.1,-0.01%
2019.02.14,1342.37,0.13,-0.01%
2019.02.13,1342.5,0.16,-0.01%
2019.02.12,1342.66,0.27,-0.02%
2019.02.11,1342.93,0.2,-0.01%
2019.02.10,1343.13,0.06,-0.00%
2019.02.09,1343.19,0.29,-0.02%
2019.02.08,1343.48,0.32,-0.02%
2019.02.07,1343.65,0.2,-0.01%
2019.02.06,1343.85,0.28,-0.02%
2019.02.05,1344.13,0.01,+ 0.00%
2019.02.04,1344.12,0.04,-0.00%
2019.02.03,1344.16,0.05,-0.00%
2019.02.02,1344.21,0.06,+ 0.00%
2019.02.01,1344.15,0.2,-0.01%
2019.01.31,1344.35,0.14,-0.01%
2019.01.30,1344.49,0.27,-0.02%
2019.01.29,1344.76,0.17,-0.01%
2019.01.28,1344.93,0.01,-0.00%
2019.01.27,1344.94,0.01,+ 0.00%
2019.01.26,1344.93,0.34,-0.03%
2019.01.25,1345.27,0.08,-0.01%
2019.01.24,1345.3,0.18,-0.01%
2019.01.23,1345.48,0.11,-0.01%
2019.01.22,1345.59,0.02,+ 0.00%
2019.01.21,1345.57,0.03,-0.00%
2019.01.20,1345.6,0.22,-0.02%
2019.01.19,1345.82,0.37,-0.03%
2019.01.18,1346.19,0.58,-0.04%
2019.01.17,1346.77,0.62,-0.05%
2019.01.16,1347.39,0.57,-0.04%
2019.01.15,1347.96,0.58,-0.04%
2019.01.14,1348.54,0.62,-0.05%
2019.01.13,1349.16,0.28,-0.02%
2019.01.12,1349.44,0.62,-0.05%
2019.01.11,1350.06,1.14,-0.08%
2019.01.10,1351.2,1.41,-0.10%
2019.01.09,1352.61,1.85,-0.14%
2019.01.08,1354.46,2.75,-0.20%
2019.01.07,1357.21,2.39,-0.18%
2019.01.06,1359.6,1.42,-0.10%
2019.01.05,1361.02,2.91,-0.21%
2019.01.04,1363.93,3.74,-0.27%
2019.01.03,1367.67,3.91,-0.29%
2019.01.02,1371.58,3.5,-0.25%
2019.01.01,1375.08,4.69,-0.34%
2018.12.31,1379.77,1.89,-0.14%
2018.12.30,1381.66,1.37,-0.10%
2018.12.29,1383.03,2.87,-0.21%
2018.12.28,1386.33,2.72,-0.20%
2018.12.27,1389.05,4.31,-0.31%
2018.12.26,1393.36,4.08,-0.29%
2018.12.25,1397.44,4.12,-0.29%
2018.12.24,1401.56,3.95,-0.28%
2018.12.23,1405.51,2.37,-0.17%
2018.12.22,1407.88,4.16,-0.29%
2018.12.21,1412.04,5.42,-0.38%
2018.12.20,1417.46,5.09,-0.36%
2018.12.19,1422.55,4.33,-0.30%
2018.12.18,1426.88,4.33,-0.30%
2018.12.17,1431.21,3.1,-0.22%
2018.12.16,1434.31,1.54,-0.11%
2018.12.15,1435.85,3.44,-0.24%
2018.12.14,1439.29,3.92,-0.27%
2018.12.13,1443.21,4.26,-0.29%
2018.12.12,1447.47,4.2,-0.29%
2018.12.11,1451.67,4.82,-0.33%
2018.12.10,1456.49,3.3,-0.23%
2018.12.09,1459.79,1.51,-0.10%
2018.12.08,1461.3,4.09,-0.28%
2018.12.07,1465.39,5.06,-0.34%
2018.12.06,1470.45,4.94,-0.33%
2018.12.05,1475.39,5.85,-0.39%
2018.12.04,1481.24,5.68,-0.38%
2018.12.03,1486.92,3.81,-0.26%
2018.12.02,1490.73,2.59,-0.17%
2018.12.01,1493.32,6.92,-0.46%
2018.11.30,1500.24,4.99,-0.33%
2018.11.29,1505.23,5.62,-0.37%
2018.11.28,1510.85,5.7,-0.38%
2018.11.27,1516.55,6.24,-0.41%
2018.11.26,1522.79,3.4,-0.22%
2018.11.25,1526.19,1.66,-0.11%
2018.11.24,1527.85,3.8,-0.25%
2018.11.23,1531.65,5.11,-0.33%
2018.11.22,1536.76,4.93,-0.32%
2018.11.21,1541.69,5.52,-0.36%
2018.11.20,1547.21,4.7,-0.30%
2018.11.19,1551.91,3.24,-0.21%
2018.11.18,1555.15,1.66,-0.11%
2018.11.17,1556.81,3.47,-0.22%
2018.11.16,1560.28,4.79,-0.31%
2018.11.15,1565.07,4.89,-0.31%
2018.11.14,1569.96,4.77,-0.30%
2018.11.13,1574.73,5.59,-0.35%
2018.11.12,1580.32,5.34,-0.34%
2018.11.11,1585.66,3.59,-0.23%
2018.11.10,1589.25,9.42,-0.59%
2018.11.09,1598.67,16.33,-1.01%
2018.11.08,1615.0,25.7,-1.57%
2018.11.07,1640.7,24.8,-1.49%
2018.11.06,1674.14,16.16,-0.96%
2018.11.05,1690.3,0.01,-0.00%
2018.11.04,1690.31,0.12,+ 0.01%
2018.11.03,1690.19,0.02,-0.00%
2018.11.02,1690.21,0.03,-0.00%
2018.11.01,1690.24,0.1,+ 0.01%
2018.10.31,1690.14,0.03,+ 0.00%
2018.10.30,1690.11,0.25,+ 0.01%
2018.10.29,1689.86,0.02,+ 0.00%
2018.10.28,1689.84,0.15,+ 0.01%
2018.10.27,1689.69,0.05,+ 0.00%
2018.10.26,1689.64,0.14,-0.01%
2018.10.25,1689.78,0.05,+ 0.00%
2018.10.24,1689.73,0.02,+ 0.00%
2018.10.23,1689.71,0.05,-0.00%
2018.10.22,1689.76,0.28,+ 0.02%
2018.10.21,1689.48,0.33,+ 0.02%
2018.10.20,1689.15,0.41,+ 0.02%
2018.10.19,1688.74,0.49,+ 0.03%
2018.10.18,1688.25,0.78,+ 0.05%
2018.10.17,1687.47,1.08,+ 0.06%
2018.10.16,1686.39,1.28,+ 0.08%
2018.10.15,1685.11,1.11,+ 0.07%
2018.10.14,1684.0,0.87,+ 0.05%
2018.10.13,1683.13,1.58,+ 0.09%
2018.10.12,1681.55,1.88,+ 0.11%
2018.10.11,1679.67,2.64,+ 0.16%
2018.10.10,1677.03,1.86,+ 0.11%
2018.10.09,1675.17,2.81,+ 0.17%
2018.10.08,1672.36,1.98,+ 0.12%
