회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
녹십자랩셀,144510,"그외 기타 전문, 과학 및 기술 서비스업","세포치료제, 검체검사서비스, 제대혈은행",2016-06-23,12월,박대우,http://www.gclabcell.com,경기도
대성미생물,36480,의약품 제조업,"동물용 의약품, 미생물제재",2000-04-04,12월,조항원,http://www.dsmbio.com,경기도
대양전기공업,108380,선박 및 보트 건조업,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등",2011-07-08,12월,서영우,http://daeyang.co.kr,부산광역시
대창스틸,140520,1차 철강 제조업,"냉연강판, 이중바닥재",2014-12-05,12월,"문창복, 문경석",http://www.dcsteel.com,인천광역시
대한과학,131220,기계장비 및 관련 물품 도매업,"의료, 정밀 및 연구실험기기 제조 및 유통",2011-10-11,12월,"서정구,서현정(공동대표)",http://www.daihansci.co.kr,강원도
덕신하우징,90410,"구조용 금속제품, 탱크 및 증기발생기 제조업",일체형 데크플레이트 등,2014-08-01,12월,김용회,http://www.duckshin.com,충청남도
동국산업,5160,1차 철강 제조업,"철강무역,강판제품제조",1999-06-25,12월,"장세희, 안상철",http://www.dkis.co.kr,서울특별시
동국제약,86450,의약품 제조업,"인사돌,복합마데카솔,파미레이",2007-05-29,12월,오흥주,http://www.dkpharm.co.kr,서울특별시
동진쎄미켐,5290,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",1999-12-21,12월,"이부섭, 이준혁",http://www.dongjin.com,인천광역시
두올산업,78590,자동차 신품 부품 제조업,자동차내장카페트,2005-10-27,12월,이창현 단독대표이사,http://www.diac.co.kr,경상남도
디에스케이,109740,특수 목적용 기계 제조업,"FPD용 PCB Bonding System, In-line System, Linear Motion System 등",2009-09-23,12월,"김태구, 김종원(각자대표)",,경기도
디오스텍,196450,사진장비 및 광학기기 제조업,휴대폰용카메라렌즈모듈제조,2014-06-02,12월,김선봉,http://diostech.co.kr,경기도
딜리,131180,컴퓨터 및 주변장치 제조업,디지털 UV 프린터,2011-01-31,12월,최근수,,경기도
라이온켐텍,171120,기타 화학제품 제조업,"합성왁스, 인조대리석",2013-11-19,12월,"박희원, 박서영",http://www.lion-chemtech.co.kr,대전광역시
로지시스,67730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",2015-07-29,12월,이규현,http://www.logisys.co.kr,서울특별시
루미마이크로,82800,반도체 제조업,백색발광다이오드(LED),2005-11-18,12월,한재관,http://www.lumimicro.com,경기도
리켐,131100,기초 화학물질 제조업,"이차전지 전해액 소재, LCD 공정용 에천트 소재",2011-06-14,06월,김우,,충청남도
링네트,42500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),2002-01-10,12월,이주석,http://www.ringnet.co.kr,서울특별시
머큐리,100590,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,임채병,,인천광역시
메가스터디교육,215200,일반 교습 학원,"오프라인 학원, 온라인 강의",2015-05-04,12월,손성은,http://www.megastudy.net,서울특별시
메카로,241770,기타 화학제품 제조업,반도체용 전구체 및 히터블록,2017-12-06,12월,이재정,http://www.mecaro.com,경기도
모헨즈,6920,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,1989-01-05,12월,이기명,http://www.imohenz.com,충청남도
미래에셋대우스팩2호,310200,금융 지원 서비스업,기업인수합병,2018-12-21,12월,박광열,,서울특별시
미스터블루,207760,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판",2014-12-12,12월,조승진,http://www.mrblue.com,서울특별시
바이넥스,53030,의약품 제조업,"정장제, 소화제",2001-08-07,12월,이혁종,http://www.bi-nex.co.kr,부산광역시
바이온,32980,음·식료품 및 담배 도매업,"배너,타포린,화장품,자동차부품",1997-08-06,12월,김병준,http://www.by-on.co.kr,충청북도
비디아이,148140,일반 목적용 기계 제조업,"탈황설비, 전기집진기, 회처리 및 회정제설비",2017-11-09,12월,예경남,http://www.bdindustry.co.kr/,경기도
