S하중,S저항,T저항,M하중,M_stroke,C하중,C_stroke,C저항,저항합,Gap,초기위치,이동속도,접촉예측,1초,2초,3초,4초,5초,6초,7초,8초,9초,10초,11초,12초,Trip시간
80,0.115,0.74,241,1.94,305,1.77,1.0896,0.855,1.526,8.082,0.0412,33.24,8.086,8.054,8.007,7.993,7.936,7.875,7.832,7.831,7.737,7.671,7.674,7.611,92
85,0.128,0.74,222,1.83,308,1.62,1.0926,0.868,1.505,8.302,0.0509,31.53,8.294,8.159,8.203,8.176,8.117,8.084,8.028,7.975,7.931,7.852,7.785,7.672,80
89,0.164,0.74,231,1.9,337,1.66,1.1334,0.904,1.515,8.248,0.047,32.26,8.234,8.193,8.165,8.116,8.087,8.034,8.007,7.935,7.874,7.829,7.764,7.697,85
83,0.123,0.71,237,1.9,338,1.73,1.0876,0.833,1.567,8.242,0.0489,33.24,8.203,8.187,8.132,8.099,8.037,8,7.942,7.897,7.836,7.779,7.714,7.671,89
89,0.149,0.73,256,2.05,341,1.76,1.2706,0.879,1.527,8.242,0.0447,32.83,8.247,8.225,8.194,8.16,8.116,8.064,8.034,7.967,7.914,7.871,7.8,7.762,98
77,0.112,0.72,223,1.81,299,1.65,1.0892,0.832,1.519,8.343,0.0457,32.52,8.316,8.265,8.229,8.176,8.123,8.075,8.029,8.001,7.953,7.921,7.859,7.781,92
86,0.162,0.71,219,1.9,296,1.69,1.1625,0.872,1.444,8.23,0.043,31.1,8.211,8.189,8.158,8.125,8.084,8.065,7.995,7.947,7.877,7.855,7.781,7.737,90
93,0.131,0.76,241,2.05,352,1.66,1.0163,0.891,1.357,8.175,0.0457,28.72,8.136,8.124,8.075,8.05,7.993,7.93,7.894,7.837,7.773,7.723,7.679,7.63,85
80,0.118,0.72,219,1.85,313,1.63,1.0873,0.838,1.493,8.306,0.0415,32.43,8.307,8.268,8.245,8.203,8.169,8.138,8.09,8.025,7.991,7.948,7.892,7.847,90
72,0.151,0.74,225,1.88,330,1.66,1.0882,0.891,1.749,8.258,0.042,38.37,8.259,8.221,8.219,8.194,8.146,8.047,8.058,7.991,7.948,7.868,7.839,7.77,96
93,0.113,0.73,221,1.93,354,1.67,1.1301,0.843,1.578,8.259,0.044,34.11,8.233,8.2,8.184,8.134,8.101,8.041,7.992,7.942,7.891,7.853,7.793,7.762,94
95,0.138,0.73,218,2.09,286,1.77,1.0407,0.868,1.502,8.21,0.0455,32.14,8.203,8.148,8.129,8.081,8.058,7.973,7.954,7.934,7.892,7.831,7.748,7.708,105
95,0.128,0.73,236,1.94,310,1.7,1.1487,0.858,1.628,8.214,0.0472,34.88,8.196,8.172,8.083,8.087,8.049,7.994,7.936,7.902,7.853,7.787,7.724,7.669,95
94,0.127,0.71,211,1.99,330,1.8,1.1481,0.837,1.635,8.435,0.0454,35.27,8.445,8.419,8.394,8.345,8.311,8.271,8.201,8.174,8.112,8.001,7.991,7.95,98
84,0.167,0.72,201,1.81,288,1.54,1.1128,0.887,1.592,8.178,0.0404,34.89,8.161,8.114,8.049,8.021,7.997,7.998,7.904,7.881,7.832,7.765,7.757,7.662,87
92,0.152,0.72,211,1.92,309,1.7,1.1117,0.872,1.644,8.104,0.0415,35.97,8.033,8.007,7.952,7.924,7.912,7.878,7.812,7.767,7.71,7.654,7.618,7.548,90
88,0.115,0.72,227,1.87,309,1.61,1.0431,0.835,1.733,8.338,0.0418,38.02,8.309,8.264,8.213,8.201,8.144,8.085,8.049,7.981,7.944,7.893,7.891,7.811,92
73,0.098,0.73,246,2.07,349,1.73,1.1392,0.828,1.645,8.295,0.0451,35.54,8.279,8.272,8.23,8.16,8.134,8.086,8.057,7.991,7.946,7.883,7.828,7.787,100
87,0.104,0.73,219,1.99,303,1.71,1.0461,0.834,1.513,8.3,0.0478,32.11,8.287,8.242,8.198,8.16,8.136,8.062,8.033,7.984,7.928,7.845,7.809,7.781,92
88,0.101,0.82,220,1.83,316,1.65,0.983,0.921,2.263,8.23,0.0485,49.6,8.206,8.152,8.167,8.106,8.055,7.971,7.91,7.862,7.809,7.743,7.703,7.636,120
88,0.142,0.831,242,1.88,350,1.68,1.0169,0.973,2.277,8.068,0.0496,49.79,8.033,7.979,7.945,7.901,7.864,7.829,7.778,7.731,7.693,7.633,7.598,7.545,135
71,0.134,0.841,253,1.89,369,1.68,1.0177,0.975,1.89,8.182,0.0398,41.95,8.177,8.134,8.101,8.132,8.001,7.973,7.922,7.906,7.818,7.763,7.74,7.67,106
88,0.113,0.802,242,1.84,331,1.66,1.0209,0.915,2.235,7.74,0.047,49.13,7.706,7.696,7.812,7.61,7.725,7.53,7.459,7.556,7.503,7.454,7.389,7.336,130
80,0.098,0.821,239,1.96,342,1.7,1.0065,0.919,2.039,8.071,0.0472,44.52,8.055,8.001,7.973,7.915,7.872,7.836,7.787,7.725,7.675,7.623,7.581,7.521,120
97,0.132,0.828,254,1.86,335,1.66,0.9981,0.96,1.42,7.936,0.0375,31.22,7.909,7.886,7.83,7.789,7.751,7.696,7.657,7.586,7.541,7.489,7.439,7.385,80
81,0.132,0.831,255,1.99,349,1.79,1.0826,0.963,1.884,8.148,0.0496,40.58,8.143,8.138,8.103,8.043,8.016,7.945,7.9,7.849,7.79,7.756,7.681,7.644,106
86,0.119,0.821,248,1.84,352,1.61,1.1874,0.94,2.25,7.988,0.0505,49.05,7.979,7.97,7.938,7.878,7.825,7.79,7.747,7.688,7.649,7.597,7.519,7.468,125
99,0.121,0.834,236,1.89,340,1.69,1.0296,0.955,2.078,8.236,0.0462,45.56,8.208,8.197,8.146,8.117,8.065,8.034,7.962,7.909,7.873,7.803,7.764,7.696,120
79,0.13,0.801,216,2,286,1.77,1.0754,0.931,2.024,8.161,0.0459,44.33,8.153,8.125,8.093,8.054,8.005,7.947,7.9,7.801,7.799,7.759,7.696,7.641,108
108,0.131,0.843,205,2.03,301,1.71,1.0428,0.974,1.878,8.208,0.0445,41.08,8.184,8.144,8.103,8.059,8.004,7.943,7.887,7.846,7.787,7.749,7.679,7.615,103
86,0.119,0.851,212,1.98,305,1.7,0.9699,0.97,2.132,8.005,0.0451,46.96,7.977,8.012,7.973,7.88,7.804,7.741,7.691,7.629,7.58,7.524,7.479,7.413,117
79,0.121,0.805,205,1.96,290,1.61,1.1473,0.926,2.131,8.114,0.0465,46.76,8.091,8.078,8.031,7.997,7.945,7.893,7.846,7.794,7.737,7.683,7.617,7.576,115
83,0.131,0.816,205,2.07,299,1.68,1.0548,0.947,1.858,7.913,0.0261,42.92,7.859,7.83,7.776,7.716,7.678,7.639,7.577,7.53,7.466,7.398,7.522,7.453,109
105,0.1,0.801,229,1.97,339,1.65,1.0992,0.901,2.228,8.118,0.052,48.34,8.091,8.044,8.005,8.131,8.074,7.965,7.929,7.767,7.709,7.642,7.626,7.595,123
73,0.137,0.83,224,2.09,328,1.7,1.078,0.967,2.186,8.175,0.0482,47.84,8.174,8.146,8.122,8.067,8.003,7.963,7.905,7.894,7.817,7.793,7.755,7.653,118
79,0.104,0.824,207,1.91,292,1.61,1.0193,0.928,2.24,8.186,0.0441,49.62,8.173,8.134,8.137,8.095,8.045,7.979,7.918,7.866,7.795,7.745,7.687,7.666,121
90,0.111,0.842,211,1.95,314,1.64,1.0426,0.953,2.154,8.186,0.048,47.11,8.172,8.137,8.115,8.066,8.027,7.978,7.907,7.862,7.816,7.763,7.689,7.579,116
86,0.101,0.848,213,2.02,301,1.72,1.0734,0.949,2.042,8.119,0.0471,44.6,8.084,8.052,8.004,7.947,7.921,7.852,7.79,7.733,7.687,7.632,7.59,7.531,114
81,0.11,0.81,217,2.02,311,1.72,1.0839,0.92,2.137,8.084,0.0464,46.91,8.068,8.065,8.006,7.95,7.908,7.869,7.812,7.752,7.692,7.658,7.593,7.549,113
88,0.139,0.81,212,2.04,302,1.66,0.9756,0.949,2.475,8.232,0.05,54.38,8.217,8.156,8.09,8.032,7.989,7.981,7.77,7.718,7.664,7.599,7.537,7.528,134
107,0.113,0.829,229,2,331,1.74,1.0097,0.942,2.197,8.112,0.0471,48.23,8.127,8.098,8.039,8.001,7.973,7.904,7.848,7.799,7.745,7.688,7.635,7.58,116
67,0.12,0.84,246,1.89,362,1.58,1.0484,0.96,2.466,8.086,0.0497,54.21,8.072,7.989,7.942,7.906,7.848,7.798,7.769,7.727,7.679,7.623,7.554,7.502,134
84,0.102,0.825,207,1.94,292,1.7,1.0207,0.927,1.923,8.268,0.048,41.7,8.222,8.182,8.147,8.1,8.145,8.08,8.035,7.987,7.948,7.885,7.838,7.778,108
88,0.127,0.847,209,2,293,1.74,1.1198,0.974,2.061,8.356,0.0465,45.12,8.359,8.33,8.265,8.224,8.184,8.131,8.078,8.036,7.977,7.924,7.874,7.831,117
95,0.108,0.842,196,1.98,278,1.66,0.9634,0.95,2.221,8.193,0.0467,48.84,8.139,8.123,8.094,8.036,7.983,7.94,7.863,7.697,7.768,7.702,7.572,7.466,117
